variable,correlation,pvalue,n
appid,-0.16177905274910132,0.007076096831229565,276
pos_reviews,0.9949809298455277,5.7787495263632005e-276,276
neg_reviews,0.913154935444383,8.504819508453138e-109,276
rank,-0.38654931465672554,2.8699588174625375e-11,276
meta_score,0.38661186301335504,2.8472500355158347e-11,276
user_score,0.042865269052094146,0.5140779330999579,234
4Players.de,0.26095871348897404,0.0833722844555058,45
Adventure Gamers,0.18655503255574818,0.24906756813136036,40
App Trigger,-0.2581988897471611,0.7418011102528389,4
Areajugones,0.5038750935401648,0.0661977037288112,14
Atomix,0.34184605910604526,0.303500773700235,11
Attack of the Fanboy,-0.06600068932776353,0.7704253675210195,22
AusGamers,0.008690992923555223,0.9735910516184703,17
BaziCenter,0.65853947673943,0.0384035783425594,10
But Why Tho?,-0.09731748797221139,0.7199347322548648,16
CD-Action,0.43092726931034603,2.608244413192415e-06,110
CGMagazine,0.24189362941214626,0.23383408565762814,26
COGconnected,0.3864613996050951,0.00043493637455894145,79
Checkpoint Gaming,0.24759637512424112,0.025843530753431248,81
Comicbook.com,0.316227766016838,0.683772233983162,4
Critical Hit,0.43652669512362646,0.2401011098621549,9
Cubed3,0.09018243938739234,0.705347891802457,20
Cultured Vultures,-0.0857949236645457,0.6834454734267934,25
DarkStation,0.7356123579206245,0.09561078073827967,6
DarkZero,0.1991685025460329,0.3192676351660514,27
Destructoid,0.3084159172884855,0.08076683668559652,33
Dexerto,-0.663980093991824,0.05113646018578812,9
Digital Chumps,0.23970947297384784,0.2592406400884638,24
Digital Trends,0.7378647873726218,0.2621352126273781,4
Digitally Downloaded,-0.20018930434905252,0.6055530764445416,9
DualShockers,0.4958895368411578,0.17457779677690743,9
EGM,1.0,0.0,3
Easy Allies,0.2813874297663251,0.4309306401692855,10
Edge Magazine,0.1394365674926104,0.2965266093588687,58
Eurogamer Italy,0.2476512708828496,0.026772233801245895,80
Everyeye.it,0.444397892827049,0.0009652410440245921,52
Finger Guns,0.5105695066541889,0.021431000853300197,20
GAMES.CH,-0.1930614598326846,0.5695192310561805,11
GAMINGbible,0.16639756937048814,0.5696660181164601,14
GMW3,0.2041241452319315,0.6606421552406503,7
GRYOnline.pl,0.19728646538300934,0.40443758638627914,20
Game Debate,0.6155870112510925,0.2689977701158222,5
Game Informer,0.23859900091002265,0.21259062039192128,29
Game Over Online,-0.31805619881428193,0.3704647641632512,10
Game Rant,0.6442758526198277,0.0029070412579913006,19
Game Revolution,-0.6061994394049727,0.028074027881243746,13
Game World Navigator Magazine,0.3396611863699698,0.061560014927115984,31
GameByte,-0.4259989772815657,0.19141166767149728,11
GameCrate,0.19999999999999998,0.8,4
GameCritics,0.4570949730997804,8.911440820617415e-05,68
GameGrin,0.16397441581944752,0.17819834881480062,69
GameMAG,0.051280333059357606,0.8504022315597319,16
GameOver.gr,0.12858641197244408,0.490578964821355,31
GameSkinny,0.21796928331252816,0.14106242139983674,47
GameSpace,0.002894840236012549,0.985483646009004,42
GameSpew,0.19298916236621602,0.32514774288834536,28
GameSpot,-0.01390294119212706,0.9312491662739812,41
GameStar,0.3123230101175626,0.0021794840865457326,94
GameWatcher,-0.08514226268202439,0.6792089655996685,26
Gameblog.fr,0.20722461508868598,0.30974574866610444,26
Gamepressure,0.26415725683082913,0.15100892297285212,31
Gamer Escape,0.389696229369064,0.04907557724373854,26
Gamer.nl,-0.4959915798916719,0.08473989495568064,13
Gamer.no,-0.29056165298670433,0.22751030594690938,19
Gamers Heroes,-0.17656111172573133,0.5459679108419357,14
Gamers' Temple,-0.3109353485219266,0.41540715508978243,9
Gamersky,0.49773924991129204,0.025534316666812745,20
Games.cz,0.24036481171497423,0.10364285829803165,47
GamesBeat,0.16903085094570333,0.7488684500235265,6
GamesHub,-0.316227766016838,0.683772233983162,4
GamesRadar+,-0.20502985858827802,0.4635395926203286,15
Gaming Age,0.09253903142615943,0.733207163568605,16
Gaming Nexus,0.18805622366637104,0.3110122071117004,31
GamingBolt,0.2607144567760445,0.4387427730196748,11
GamingTrend,0.3219316044825171,0.007424582683656324,68
Gfinity,-0.08779495163935941,0.638610447353235,31
God is a Geek,0.24383494011232693,0.06045614956941517,60
Guardian,-0.18799637057042995,0.46994444929927237,17
Hardcore Gamer,0.5059294254354805,5.951101909688688e-05,57
Het Nieuwsblad,0.24038674757580036,0.3526949791742052,17
Hey Poor Player,0.29187337894110055,0.007061958156402788,84
Hobby Consolas,0.10878756313824399,0.7805538526280621,9
Hooked Gamers,0.540869685784626,0.0011545742136693069,33
IGN,0.41311823305895484,9.402255998606804e-05,84
IGN France,0.36068453339448214,0.059351662982850474,28
IGN Italia,0.49536705920176416,2.349814550721569e-05,66
IGN Japan,0.20769510081357426,0.5647635968300634,10
IGN Portugal,-0.12235987358107986,0.6073124318310748,20
IGN Spain,0.28867513459481287,0.6376180914006018,5
Impulsegamer,0.4137837275407322,0.012119081488111432,36
JeuxActu,0.055565083993247714,0.8788259628387037,10
Jeuxvideo.com,0.4678986971181923,4.846885556524022e-08,123
KeenGamer,0.12053540054495678,0.3762145872323591,56
LEVEL (Czech Republic),-0.14907119849998599,0.7018823620271208,9
Launcher (The Washington Post),0.5232486729932276,0.14829241377783686,9
LevelUp,-0.16666666666666669,0.668231040071504,9
MGG Spain,0.46377035240797665,0.05255127507614314,18
MMORPG.com,-0.21388962847601115,0.3391761340840509,22
Malditos Nerds,0.34855605295049047,0.24314104140761442,13
Meristation,0.5337782675477595,9.428026212589293e-06,61
Merlin'in KazanÄ± (Turkey),0.2223833860391108,0.2748709943621803,26
Metro GameCentral,0.13676512550999026,0.6410585635031982,14
Millenium,0.456680898272445,0.0011035231302120613,48
Multiplayer.it,0.3348343265708476,3.6130333156520554e-05,146
NME,0.05389624096770081,0.704331740204932,52
New Game Network,0.3476699148444072,0.020752969967571096,44
Noisy Pixel,0.2569171322264225,0.014507686168664161,90
PC Gamer,0.12346292508066682,0.2436358420167541,91
PC Games,0.34232936668307506,0.0015361603296345436,83
PC Invasion,0.3072508936920527,0.00014558840638726774,148
PCGamesN,0.15396340803287456,0.3493687233937123,39
PCMag,0.008877189176441765,0.9730254561952354,17
PLAY! Zine,0.2870866057687517,0.20701935554250772,21
PlaySense,-0.9999999999999999,,2
Player 2,0.6085099923411909,0.0007576676406258805,27
Power Unlimited,-0.46169025843831935,0.43376615616902786,5
Press Start Australia,0.13620104492139978,0.7267871193424545,9
Quarter to Three,-0.5,0.6666666666666667,3
RPG Fan,0.13913729997149835,0.391857679446995,40
RPG Site,0.47168773170320666,0.05594034632878212,17
RPGamer,-0.19604364719072978,0.5414320131653392,12
Ragequit.gr,0.4050171670574829,0.001462701317420012,59
Riot Pixels,0.44259100667039764,0.0012889556281036416,50
Road to VR,0.4642857142857144,0.2939341076002517,7
SECTOR.sk,-0.1486417213801955,0.6819355638686473,10
Screen Rant,0.16395748339868194,0.08552306389515647,111
Shacknews,0.2758499707792251,0.039606687548712924,56
Shindig,-0.22261551406750307,0.4251771160314267,15
Siliconera,-0.13093073414159545,0.8047261622231061,6
Slant Magazine,0.3269942411815495,0.2001559816797632,17
Softpedia,0.3660718185943873,0.018578942776241662,41
SpazioGames,0.34708702261544705,0.00816474351084054,57
Stevivor,0.08946750577612211,0.7936344655073471,11
The Digital Fix,0.6172133998483678,0.191744357341423,6
The Games Machine,0.26252598985952624,0.012940123254744423,89
The Indie Game Website,0.20224868058197082,0.07018601177613375,81
The Loadout,0.8660254037844387,0.3333333333333332,3
The Mako Reactor,0.5,0.6666666666666667,3
TheGamer,0.34482338021514364,0.014193477023541132,50
TheSixthAxis,0.26886981735191234,0.027802442843934468,67
TierraGamer,0.2723450106920405,0.18781517546845675,25
TrueGaming,0.25836293395904775,0.30059534803738286,18
Trusted Reviews,-0.22360679774997894,0.7176856442107861,5
Twinfinite,0.3707963386346023,0.056903162703350725,27
UploadVR,0.44721359549995787,0.45018485575210093,5
VG247,-0.01960395721311131,0.9469654512575937,14
VGC,-0.06172133998483677,0.9075355544798588,6
Vandal,0.1711185251328775,0.16619242959564742,67
Vgames,-0.42961734455219197,0.18725949643142042,11
Washington Post,0.8196885999705371,0.04583714123245319,6
Wccftech,0.4022145676727811,0.002570165302657364,54
We Got This Covered,-0.7,0.1881204043741873,5
WellPlayed,0.4165956037233446,0.019737486248951646,31
Windows Central,0.2525627080157108,0.20373558689131885,27
Worth Playing,0.42499437002041607,0.00323890087208895,46
XGN,0.49280538030458115,0.3206325828658273,6
ZTGD,0.23859808005696917,0.4113708818058761,14
