game_name,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in KazanÄ± (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404
Disco Elysium: The Final Cut,1.,97,8.2,/game/pc/disco-elysium-the-final-cut/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,100,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,90,,,,,95,,,,,100,,,,,,100,,,,,,,,,,,,,,,,95,,,,,,,,,100,,,,,,,
Final Fantasy XIV: Endwalker,2.,92,9.5,/game/pc/final-fantasy-xiv-endwalker/critic-reviews,,,,,,,,,,,,,,,,,,,90,,,,,95,,,,,,,95,,,95,,,,,,,,93,,,,,,,,,,,,,,80,86,,,,90,,,,,,,100,100,,,,,100,,,,90,80,,,,90,,,,,,,,90,,90,,,,,,,95,,90,,,,,100,,100,89,,,90,,,,,,,,98,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,92,,,,,,90,,,,
Forza Horizon 5,3.,91,6.9,/game/pc/forza-horizon-5/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,81,,,,,,,,,,,90,90,,90,,,,85,,,,,,,,95,,,,,,90,100,,,,,,,,,,,,,,95,,,,95,,90,,,,,,,,,,,90,,100,90,90,,,,,,,,,,91,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,95,,85,,,,,
Chicory: A Colorful Tale,4.,90,7.4,/game/pc/chicory-a-colorful-tale/critic-reviews,,100,,,,,,,,,,80,100,,,90,,,,,,,95,,,,,,,,,90,,,,,,,,,,88,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,90,,,,,,,,85,,,95,,,,,,80,,,,95,,,85,,90,,,,,,,,,,,,100,,,,,,,,90,,,90,,,,,85,,,,,90,,,,,,,,82,,,85,,,,,,,
Psychonauts 2,5.,89,7.0,/game/pc/psychonauts-2/critic-reviews,,,,,82,,,,,,,,80,,,90,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,85,82,90,,,95,,,,,,,88,90,,,,,,,,,,,,,,,,100,,,,,,,,,80,,,88,,90,,,,,85,,,,,,89,,80,,90,,,92,100,81,,89,90,95,90,,,,100,,,,,,,,,,,90,90,,,80,,,,,,94,,,,,,,,85,90,,,100,,,,,95,,,,,,,
Streets of Rage 4: Mr. X Nightmare,6.,88,7.6,/game/pc/streets-of-rage-4-mr-x-nightmare/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,95,,,,,,,,,85,,90,,,,70,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,90,,,,100,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,
It Takes Two,7.,88,8.8,/game/pc/it-takes-two/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,93,,,,,,80,,,,,,,,,,95,,,,,,90,87,,,,,,,,,95,,,,,,,,,,,,,,,,,90,,,,,90,,,,,90,,,,,,,,,92,,,95,,,,,80,90,95,,,,,,,,,,,,,,,,,90,,,,,83,,80,,96,,,,,,,,,,,,,,,,,,,,,,,,
Hitman 3,8.,87,7.4,/game/pc/hitman-3/critic-reviews,,,,,,,100,,,,,90,,,,,70,,,,,,90,,,,80,,80,,,,80,80,,,86,90,,90,90,90,,,85,,,80,,,90,,,,,90,84,90,90,,,,,,,85,,100,,90,,,,,,,,,,,,,90,,,80,,,,,,85,85,,,90,,,,90,96,87,85,,85,85,,,90,90,90,85,80,90,,,100,85,,,,,,90,80,,,90,90,,,70,,88,70,,90,90,,,,,80,,89,90,,,,100,80,,,,,,,,,,85,
Wildermyth,9.,87,7.9,/game/pc/wildermyth/critic-reviews,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,90,,,,,,,,85,,88,,,,,,,,,,,,,,,84,,,,,,,,,,80,,,,,,,85,90,,100,,,80,,,90,,,,,,,,,,,90,,,,,,,,,,90,,90,,,,90,,,,,,,,,,,75,80,70,,,,,80,,,,,,,,,,86,90,,,,,,,,,,,,,,,,,,,,,,,
Final Fantasy VII Remake Intergrade,10.,86,7.8,/game/pc/final-fantasy-vii-remake-intergrade/critic-reviews,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,75,,,,,,,,,,,,,80,80,,,,,,,92,,,80,,,,,,,,,90,,,,,,,,,,,,,88,,,,88,,90,90,80,,,,,,,90,,,,,,,100,,,,,,,,,,90,,,,,90,,82,,,,,,,,,,,,,,,,,
Deathloop,11.,86,5.0,/game/pc/deathloop/critic-reviews,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,74,100,,,100,,,,,,,85,80,80,70,,,,,,,,,,,,,,,,,,90,,,,97,100,,,,,90,,,,,80,,,,,,,90,,,,,75,,,80,,89,,90,100,,,,,,,,,,,82,77,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,
Mass Effect Legendary Edition,12.,86,5.7,/game/pc/mass-effect-legendary-edition/critic-reviews,,,,,,,,,,,90,80,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,75,,,,,,,100,,,,,,,85,,,,,,,,,,,,,90,91,88,,,,,,,80,,,92,90,,,82,,,,,,80,80,,,,,,,90,,,,,85,85,,,,,90,,,90,,,,,,,,,,82,75,,,80,,,,,90,75,85,,,87,,,,,,,,,,,,,,,,,,,,,,92,,
Nioh 2: The Complete Edition,13.,86,6.9,/game/pc/nioh-2-the-complete-edition/critic-reviews,,,,,,,90,,85,,,,,85,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,60,,,,,90,,,90,,,100,,,,,,,,,,,,,,,,,,,80,,90,,,,,,,80,,,,85,,,,,,,89,,,,,,85,,,95,92,,75,,90,,,,,,,,,,86,77,,,,,,,,,,,,,85,,,90,,,90,,,,,,,,,,,95,,,90,85,,80,
Mini Motorways,14.,86,6.7,/game/pc/mini-motorways/critic-reviews,76,,,,,,,,,,90,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,90,,,,,80,,,,,,,90,,,,,,,90,,,,,,,,,,,,,,,,,,80,,,90,,,,,,,,,,,,,,,80,,,70,,,,,,90,,,,,,,,,80,,100,,,,,,,90,,,,,
ENDER LILIES: Quietus of the Knights,15.,86,8.4,/game/pc/ender-lilies-quietus-of-the-knights/critic-reviews,,,,,90,,,,,,,90,,,,80,,,,,,,,,,,,,,,,,90,,,,,,,,,85,,,,,,,,70,70,,,90,70,,,,,,,,,,,,,,,,,,,,90,85,,90,,90,,,,,,90,90,,,,,,80,,,,,,,,,90,,,,,,,90,,80,85,,,,,83,,,,89,90,,87,,,,90,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1 2021,16.,86,3.2,/game/pc/f1-2021/critic-reviews,84,,,,,85,,90,,,,90,85,,,,,,,,,,,,,,,,,,,,90,,,,,,,,90,,,,,,80,,,90,,,,,,,90,,90,,,,,,,,80,,,,,,,,,,,,,,,,80,,,92,,,,80,,,80,,,,,,,,70,,,,,89,80,,,91,90,85,80,,,,,,,,,,,,,,,,80,,,,,83,85,,,,,,,,,,,,,,,,,85,,,90,,,,94,85,,
Guilty Gear -Strive-,17.,85,7.9,/game/pc/guilty-gear--strive-/critic-reviews,,,,,,,,,,,,,,,,80,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,81,,,80,100,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,80,,,,
Metro Exodus: Complete Edition,18.,85,8.4,/game/pc/metro-exodus-complete-edition/critic-reviews,,,,,,,80,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,90,,,85,,,,,,,,,,,,,,,,85,80,,,,,,,,,,,,,80,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,
Football Manager 2022,19.,85,7.0,/game/pc/football-manager-2022/critic-reviews,,,,,95,85,,,,,,,,,,,,,,,,,,90,,,,,,,,,70,82,,,,,,,,,,,80,,,,,,,,,,,,83,,80,,,,,,,82,70,,,,,,90,,90,95,,,80,,,,,80,,86,,90,,,,,75,,,,,,90,,,,,90,,85,80,,,85,80,,90,90,90,,,,,,,,,80,,,,,,,,,90,81,,80,,90,,,,,,80,85,,90,,,,,88,,,95,,,90,,90,,
Death's Door,20.,85,7.9,/game/pc/deaths-door/critic-reviews,,,,,,90,80,,95,,,70,,,,90,,,,,,,90,,90,,90,90,,,85,80,80,,,,,,,,,,,,,68,,,75,,,80,,,,80,90,,80,95,,80,80,90,,86,80,,100,,,,,90,80,,,90,,100,,90,90,,,85,,,80,,,,80,100,,,88,,80,,90,,,,,80,80,76,85,83,80,85,,,,,100,,,,85,,,,70,,,90,90,,,,85,,,,,88,,,,,,,72,90,,90,,,,78,,,,,90,,82,,,
Inscryption,21.,85,8.7,/game/pc/inscryption/critic-reviews,,,,,,,,,,,,,80,90,,90,,,,75,,,75,,,,,,,,,70,80,90,,,,,,,,90,,,,71,,,75,,,80,,,,80,,86,,,90,80,,,,86,100,,,,,100,,,,,,90,,90,,95,90,,,,100,,,,,,85,,,,,,95,,90,90,,80,85,90,,,90,69,90,75,,,,,100,,,,,,,,77,,,80,,,,80,90,85,,,,80,,,,,,,82,,,,,,,88,,,,,90,,,,100,
The Forgotten City,22.,84,8.1,/game/pc/the-forgotten-city/critic-reviews,,100,,,,,,80,90,,,80,,,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,90,,,,,,,70,,,,,80,,90,82,,,,,,100,,,,80,,,,,,,,,,,70,,100,,,90,,,84,,,,,,,80,,,,,,,,,,,,80,78,,73,75,84,90,90,,,,,100,,,,,,,,78,,,,,,,70,,,80,,,,90,,,,,,,,,80,,,,,,,85,,100,,,,,
Tales of Arise,23.,84,8.4,/game/pc/tales-of-arise/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,77,,,,100,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,80,,85,,,,,,,,,,,85,,,,,,,,,,85,,,,,,,,,90,90,80,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,85,
Atelier Ryza 2: Lost Legends & the Secret Fairy,24.,84,7.7,/game/pc/atelier-ryza-2-lost-legends-the-secret-fairy/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,90,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,80,,,,,,,
Everhood,25.,84,7.2,/game/pc/everhood/critic-reviews,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,90,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,85,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,90,,,,,,,,,,,,,,79,,,,,,,,,,
Shovel Knight Pocket Dungeon,26.,84,7.7,/game/pc/shovel-knight-pocket-dungeon/critic-reviews,,,,,,,,,,,,,85,,,,,,,,,,80,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,95,,,,95,,90,,80,80,,80,,,,,,,,,,,,,,,,,,,,,,,,90,,80,,,85,,,,,,,,,,,,,,,,90,90,,80,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,
Griftlands,27.,84,7.5,/game/pc/griftlands/critic-reviews,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,90,,,,,,,,,,86,85,,,,,,,,,,,,,,,,,,,,,,,
Fuga: Melodies of Steel,28.,84,8.3,/game/pc/fuga-melodies-of-steel/critic-reviews,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,80,,,,,,,,,100,,,,,,,,,,,,,,,,,,,90,,,,,,,80,,,,,,75,,,,,,,,,,,,,83,,,90,,,,,,,,,,,,70,90,,,,,,,,,,,,,,,,80,,,,,,80,,,,,,,,,,,,,,,90,,,
The Darkside Detective: A Fumble in the Dark,29.,84,8.1,/game/pc/the-darkside-detective-a-fumble-in-the-dark/critic-reviews,,90,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,80,,,85,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,
Unsighted,30.,84,7.7,/game/pc/unsighted/critic-reviews,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,95,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,70,,,,,,,,,88,80,,,,,,90,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,
Unpacking,31.,84,7.8,/game/pc/unpacking/critic-reviews,,,,,,,,,,,,,,86,,80,,,,,,,,,,,,,,,85,80,,90,,,,,,,,,,,,,,,70,,,,80,55,,,85,,90,,,,,,,,,,100,,,,,,,95,,80,,90,,,,,,,,,,,,,,,,,,,,,,,,,,85,80,,85,,,75,,,,,,,100,,,,,,,,,80,,,80,,,,80,,,,80,,,,,,,,,,,,,85,,,,,90,,,,,
Final Fantasy IV Pixel Remaster,32.,83,6.1,/game/pc/final-fantasy-iv-pixel-remaster/critic-reviews,,,,,,,,,,,,,90,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,90,,90,,,,,,,,,,,,,80,,,,,,,,,,78,,,,,,,,,,,,,,,,,,92,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Expect You To Die 2: The Spy And The Liar,33.,83,tbd,/game/pc/i-expect-you-to-die-2-the-spy-and-the-liar/critic-reviews,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,90,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,85,,90,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,80,,,
Crash Bandicoot 4: It's About Time,34.,83,5.4,/game/pc/crash-bandicoot-4-its-about-time/critic-reviews,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,90,,,,79,,80,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,
Little Nightmares II,35.,83,8.2,/game/pc/little-nightmares-ii/critic-reviews,,80,,,,88,,84,,,,85,,,,,,,,,,,85,,,,,,,,,70,,,,,,,,80,,,,,75,87,,70,,100,,,90,,,70,78,85,,,,,,,90,,,,,80,91,,,,,,,80,,,,,,,,,,90,,,,,70,90,,90,,,,,,86,85,,85,,,78,90,76,80,80,,,,,91,,,,,,,90,,,,,,,,,,,,,100,,,,,,90,,,,,,,,,,,90,,,,,86,,,
Kena: Bridge of Spirits,36.,83,8.0,/game/pc/kena-bridge-of-spirits/critic-reviews,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,87,,,,,,,,,87,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,95,,,75,,85,,,71,,65,90,80,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trials of Fire,37.,83,6.9,/game/pc/trials-of-fire/critic-reviews,,,,,,,,,,,,,,,,,,80,,,,,,,80,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,90,,90,,80,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,80,,,,80,90,,,,,,,,,,,80,,,,,,,
The Riftbreaker,38.,83,8.5,/game/pc/the-riftbreaker/critic-reviews,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,85,,,,,90,,,,,,,,,,,,,,,,,90,,,,,,,,,,87,,,,,,,,,,,,,,,,,72,,,,,,,
Shadow Tactics: Blades of the Shogun - Aiko's Choice,39.,83,8.4,/game/pc/shadow-tactics-blades-of-the-shogun---aikos-choice/critic-reviews,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,70,,,,,,,90,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,75,,60,,,,80,,,,,,,,,,,,,,,,95,,,80,,,85,,,,,80,,,,,,,,,,,,,,,,,75,,95,,,,,
Sunlight,40.,83,4.7,/game/pc/sunlight/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,90,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,
Pathfinder: Wrath of the Righteous,41.,83,7.7,/game/pc/pathfinder-wrath-of-the-righteous/critic-reviews,,,,,,,,,,,,85,,85,,80,,,70,,,,,,,,,,,,,,80,,,,,,,,,,,80,,89,,,,,,,,95,,,87,,,,,,,85,,88,90,,,,,,80,80,,,,,,,,,80,,80,87,,90,,88,,,,,,,,,,75,,,,,85,82,,,,76,,85,,,,,,,,,,,,,82,,,80,80,,,,,80,,,,,,,,,90,,,,,,,,,,,,80,,,,90,,,
The Great Ace Attorney Chronicles,42.,83,6.4,/game/pc/the-great-ace-attorney-chronicles/critic-reviews,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,80,,,,90,,,,,,,,,,,,,73,80,80,,,,,,,,,90,90,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Evil Village,43.,83,8.4,/game/pc/resident-evil-village/critic-reviews,,,,,88,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,78,,,,90,,,80,,,90,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,83,,,,,85,92,,,,85,80,85,80,80,,,,,,40,,,,87,68,,,,,,,,,,,80,,,,,,,,,,,90,,,,,,,,,,,90,,,,
Demeo,44.,83,8.2,/game/pc/demeo/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,81,,,,,100,,,,,,100,,,80,,,,,,,70,,,
Chivalry 2,45.,82,5.0,/game/pc/chivalry-2/critic-reviews,83,,,,,,,,,,,90,,,,80,,,80,,,,,,,,,,,,,,,,,,,,,,,,,80,,81,,,,,,,90,,,,83,,70,80,80,,,,,,,,,,,88,,90,,85,,70,,,,,90,,,,,80,,,90,,80,,,,,,,80,85,83,,,80,80,60,,,91,70,80,80,,90,,,,,,,,,,,,,80,90,,,,,80,,,,88,80,,,,,,,,,,,,,80,,,,,,90,83,,,
