game_name,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in KazanÄ± (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404
Road 96,100.,79,7.0,/game/pc/road-96/critic-reviews,,80,,,,,,,,,,60,,,,70,,,70,,,80,75,,,,,,70,,,70,80,75,,,,,,,,,,,,,,,,,60,,70,,,,79,,,90,,70,90,,,,,80,80,,,,,,,90,,90,,,,,80,,80,80,,,90,82,,,75,83,,,,,86,,,,,,,70,100,,80,,70,,,,,,100,,,,82,,,,77,,,,,,,,,77,,,,83,70,,,,80,,,,,80,,,,80,,,,,,,90,,,
Wolfstride,101.,79,tbd,/game/pc/wolfstride/critic-reviews,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,90,,,70,,,,,,,,,,,,,,,,,,,,,95,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,
Blizzard Arcade Collection,102.,79,4.2,/game/pc/blizzard-arcade-collection/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,90,,,
Super Robot Wars 30,103.,78,tbd,/game/pc/super-robot-wars-30/critic-reviews,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,90,,,,,,60,,,,,,,,,,,,,,,,,,,,72,,,75,,,,,,,,,,,,87,70,,,,,,,,,,,,77,,,,77,,,,,,,,,,,,,,,,,,,,,80,,,
Curse of the Dead Gods,104.,78,7.6,/game/pc/curse-of-the-dead-gods/critic-reviews,73,,,,,,,,,,,85,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,73,,70,,,,,,,,80,90,,,,81,,,,,,,,,,,,,,,,,85,,,,,,,,,90,,80,,,80,,,,,,70,80,,,,,,75,,,,,75,,,,,,70,,,,,,,,,80,,,,69,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,
Axiom Verge 2,105.,78,5.7,/game/pc/axiom-verge-2/critic-reviews,,,,,,,,,,,100,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,80,,,,,70,,90,,,,,,,,70,,,,,,,,,,,,,80,,,,87,70,,,,,,,,,,,,,,,,,,80,,90,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,
Grow: Song of the Evertree,106.,78,8.4,/game/pc/grow-song-of-the-evertree/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,90,,,,,,,,,,,,,,,,,,75,,,,,,,,,70,74,,,,,,,,,,,,,,,,,,,,70,,,,,,80,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,80,,,,,,,,,,,,,,,,,,,
Happy Game,107.,78,8.0,/game/pc/happy-game/critic-reviews,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,90,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,88,,63,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,85,,,,,90,,,,65,
Adios,108.,78,6.4,/game/pc/adios/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,70,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,65,,,75,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,80,,,,,,,,,80,,,,,,,,,,
Lost in Random,109.,78,7.2,/game/pc/lost-in-random/critic-reviews,,,,,,,,80,,,,90,,,,80,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,75,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,80,,,,,,,,,,,,80,,60,78,,,,75,,,,,,,,,,,,79,,,,80,70,,,,,80,,,,83,,,,,70,,,,,,,,,75,,,,,,90,,,,
Lone Echo II,110.,78,8.4,/game/pc/lone-echo-ii/critic-reviews,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,80,,80,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,75,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,75,,,80,,,,,88,,,,92,,,,,,,,,,,60,,,,,,,,,100,,,,
Farming Simulator 22,111.,78,5.7,/game/pc/farming-simulator-22/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,60,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,80,,,,75,80,80,,,90,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,
Riders Republic,112.,78,6.5,/game/pc/riders-republic/critic-reviews,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,85,,,,,,,90,,80,79,,60,,,,,,,84,,,,,,,,,,,,,,,,,,,,82,,,,,,,75,,,,,,,72,,,77,,,,80,,,71,70,80,90,,,,,,,,,,,,,,,,80,,,,,80,,,,88,,,,,,,,75,,,,80,,,,,,,,,80,,,
Unbound: Worlds Apart,113.,78,7.6,/game/pc/unbound-worlds-apart/critic-reviews,,90,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,85,,,,,,80,80,,,,,,,,,,,,,63,,,90,80,,,,85,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,
Blue Reflection: Second Light,114.,78,8.2,/game/pc/blue-reflection-second-light/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,70,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,81,,,,,,80,
Vesper,115.,78,6.9,/game/pc/vesper/critic-reviews,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,80,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,80,,,,,,78,,,,87,,,,,,,,,,,,,,,,,,,,,,,,
Marvel's Guardians of the Galaxy,116.,78,8.5,/game/pc/marvels-guardians-of-the-galaxy/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,70,,75,80,,,,70,,85,70,,,,,,,,,,,89,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,
Jupiter Hell,117.,78,7.7,/game/pc/jupiter-hell/critic-reviews,,,,,,,,,,,,75,,82,,,,,,,,80,,,,,,,,,,,,73,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,70,,90,,,,,,,,,,81,,,,,,,,,,,,,,,,,,70,,,80,,80,,,,,,,,58,,,,90,,,,,,,90,,,,,85,,,,,77,,,,,,70,,,,,,,,81,,,,,,,,,,
Solar Ash,118.,78,6.5,/game/pc/solar-ash/critic-reviews,,,,,,,,,,,,,,,,90,,,,,,,,75,,,,,,,,,80,88,,,,80,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,90,,,,,70,,,,,,,,,,80,,,,,,,,,80,,,,,80,,85,70,70,80,,,,,,,,,,,,,,,,,80,,,60,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,
Humankind,119.,78,6.9,/game/pc/humankind/critic-reviews,,,,,,,,,,,,85,80,80,,70,,,,75,,,,,,,,,,,,60,80,90,,,85,,,80,,,,,,76,,,,,,,90,,,60,78,75,90,80,,70,90,,,,70,80,,90,,,,,,80,,,100,,,,70,,80,90,,80,,,,,80,,,,,,,75,,80,,70,80,90,80,70,,71,80,75,80,,80,,83,,,,,,,,68,,,,,,,,85,78,,,,77,,,,,,90,78,,70,70,,,,80,,,80,,75,,95,,,
GTFO,120.,78,7.5,/game/pc/gtfo/critic-reviews,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,78,80,,,,,,,,,,,,,,,,80,,,,,,,,,,80,,,,,,,,,,,,,77,60,,,,,,,,,,,,,,,,,,,,70,80,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,
Wytchwood,121.,78,8.0,/game/pc/wytchwood/critic-reviews,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,75,75,,,,,,,,,,,,,,,,,,,,,,90,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Wheels Unleashed,122.,78,8.2,/game/pc/hot-wheels-unleashed/critic-reviews,,,,,,,,,,,,,,,,,,,,,,70,80,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,75,,,65,,,,,,,,,,,,95,,75,,,,,,90,,85,,,,,,,,,,,70,,,,,,,,,,,,75,,,78,,,70,65,,,,,,,,,,,,,,,,,,,,,,77,,,,77,,,,,,,,,,,,,,,,,,,,,,,,
Roguebook,123.,78,4.6,/game/pc/roguebook/critic-reviews,,,,,,,,,,,,85,,71,,80,,,50,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,80,,,,,,,,,100,,,,,,,,90,,,,80,,,80,90,,,70,,,,,,,88,,,,75,,,,,,,,,,,,80,60,,,78,70,80,,,,,,,,,,,,,,,,70,,,,,80,,,,,,65,,,,,80,,,,,,,,,,,,,,,,,,
DOOM Eternal: The Ancient Gods Part Two,124.,78,6.1,/game/pc/doom-eternal-the-ancient-gods-part-two/critic-reviews,87,,,,,,,,,,,80,,,,,,,70,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,85,,,,,,,,,,,,,75,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,90,,75,,
Fights in Tight Spaces,125.,78,7.4,/game/pc/fights-in-tight-spaces/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,90,,,,,,,,,,,,,,75,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,80,,,,,,,,,,,,78,80,,,83,,,,,,,83,,,,,,,,,,,,90,,,,,,,,,,,,,,,90,,,,,,,,83,,,,,,,,,,
Lemnis Gate,126.,78,7.4,/game/pc/lemnis-gate/critic-reviews,,,,,,,,,,,90,,,,,70,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,75,,,,,,,82,60,,,84,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
Sherlock Holmes: Chapter One,127.,77,7.4,/game/pc/sherlock-holmes-chapter-one/critic-reviews,,,,,,,,,,,,,85,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,83,80,,,,,,,,83,80,,,,,,,,,,80,,,,,,,,70,71,,,,72,,,75,,,,,,,,,,,,,,,73,,80,70,80,,,,,,,,,,,,90,,,,,,,,,,,,,,81,70,,,,,,,65,,40,,,,,,,85,,,,,,,
Orcs Must Die! 3,128.,77,6.8,/game/pc/orcs-must-die!-3/critic-reviews,78,,,,,,,,,,,85,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,81,,,,,,,,,,,,,,83,72,,,,90,,,,,,,,,78,60,,,,,,,,,,,,,,,,,,,,,,,
Steel Assault,129.,77,tbd,/game/pc/steel-assault/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,85,,,,,,70,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,80,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,
Back 4 Blood,130.,77,5.0,/game/pc/back-4-blood/critic-reviews,,,,,,,,,,,,,,,,80,,,,,,,80,,85,,,,,,75,,,80,,,,,,,,,80,,80,66,70,,85,75,,,,,,,68,,,,,,70,,,,50,,,,,80,,,80,90,,,80,,,,80,,,82,,70,,,,70,,,,,,,,,,82,80,,,80,80,80,,88,,75,80,60,80,,,,,,,,,,,,,70,60,,,,,,85,,,80,,80,,,,,,,80,80,,80,,80,,,80,60,,80,85,,,
Dodgeball Academia,131.,77,8.3,/game/pc/dodgeball-academia/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,80,,,,,65,,,,,,,,,84,70,,,,,,70,,,,,,,,,,,80,,,,,70,,,,,,,,,,,,,,,,,,
Before Your Eyes,132.,77,8.7,/game/pc/before-your-eyes/critic-reviews,,,,,,,,,,,,85,,70,,80,,,,,,,,,,,,,,,,50,70,70,80,,,,,,,85,,,,,,,90,,,,100,,90,80,,,,,,,,,,,,,,,,,,75,,90,,,,90,,,,,,,,,,98,,,,85,,,,,,,,78,,60,,70,,,85,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,70,,,,,90,,,,,,,,74,,,,,,,,,,
Genesis Noir,133.,77,6.4,/game/pc/genesis-noir/critic-reviews,,70,,,,,,,,,90,80,,,,,,,,,,,85,,,,,,,,,80,70,,,,,,,,,,,,,,,,55,,,,,,90,,,,,,,,,,,,,,,,,,,,,70,,,,80,,,,,,81,,,,,,,,,,,,,,,,68,,,,85,,,,76,,85,,,,,,,,,,,,,,,,60,70,,,,,,,,,,80,,,,,,,,,,,,,85,,,,,,,,,,
Olija,134.,77,6.4,/game/pc/olija/critic-reviews,,,,,,,,80,,,,75,,82,,,,,,,60,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,90,80,,,,,80,,,70,,70,,,,,,,,,,,,,,,,80,60,,70,,,70,,,,,,,80,,,80,,,,,,,,,83,,,,,,,85,83,70,90,,,,,75,,75,,,,,,,,,70,90,,,,80,,,,,,,,,,60,,,,,,,,,,,,,,,,,,85,
Solasta: Crown of the Magister,135.,77,7.5,/game/pc/solasta-crown-of-the-magister/critic-reviews,74,,,,,,,,,,,75,,79,,80,,,,75,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,60,,,,,,,80,,,,70,,,,,,,80,,,,,,70,,85,,,,,,,,,70,82,,,,,,,80,,,,,,77,95,,76,,,80,80,,,,70,,80,70,,80,,,,,,78,,70,90,69,,,80,,,,,,78,,,,,80,,,,,,,,,,,,,,,,75,,,,,,,
Jurassic World Evolution 2,136.,77,6.4,/game/pc/jurassic-world-evolution-2/critic-reviews,,,,,80,,,,,,85,,,,,50,,,,,,,,,,,,,,,,,,80,,,,,,75,,,,,,,,,,,,,,90,,,80,65,,,,,,,,,60,,,80,,,,95,,,80,,,,,,70,,,75,,,,,,,80,,,,,,,,,,,,80,82,80,,,72,90,,70,,,,,,,,,,,,,,,50,90,,,,,65,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
The Big Con,137.,77,5.5,/game/pc/the-big-con/critic-reviews,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,80,85,,70,,80,,,,,,,,,,,,,,,,,,,,,,,,,,65,80,,,,,,,,,,,,,,,,,,,,,70,70,,,,,,,,,,,,,,,,,,,,,,,83,,,,,85,80,,,,
Final Fantasy II Pixel Remaster,138.,77,4.0,/game/pc/final-fantasy-ii-pixel-remaster/critic-reviews,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,80,80,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,70,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,73,,,,75,,,
Sable,139.,76,7.5,/game/pc/sable/critic-reviews,,50,,,,,,,,,90,75,80,74,,90,,,,,,,,,,,,,90,,,70,80,65,,,,,,,,88,,80,,,,,,,,,60,,70,90,78,,,,,80,,,,,,,,80,,90,,90,60,80,80,,,,,,70,,,,,,,,,,70,70,,,,,,,,,,,,80,,,70,93,70,90,80,,,,,,,,,,,,,,,80,80,,,60,,75,,,,78,80,,,,60,70,,,,60,,,60,77,,,90,80,50,,89,,,
Chorus,140.,76,7.4,/game/pc/chorus/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,90,90,,,,,,,82,,70,80,,,,,,,,,,,,,,85,,,,,,,,90,80,,,,,,,,,,,,,,,,,,,,,,75,,,,,,80,50,,,,,,,,,,,,,,,75,,70,,,80,,,,,,,,,,,,,,75,,,,,,,,,60,,,,,,,
Persona 5 Strikers,141.,76,6.7,/game/pc/persona-5-strikers/critic-reviews,,,,,,,,,,,,,,,,,,,70,,,80,,,,,,,,,80,60,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,85,,,,,,,,,,,,85,,,,,63,,85,80,,,,,,,,,80,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,70,,,,100,,,,
Eldest Souls,142.,76,6.8,/game/pc/eldest-souls/critic-reviews,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,75,,,,,,,,,,,,,,,,,,90,,,,,80,,,,,,,,,,80,,,,,,,,,,,,,78,,,,,60,80,,,,,,,,,67,,,,,,,80,,,,,,,,,,,80,,,,70,,,,,,,,,,,,,,,,,,,
Far Cry 6 - Vaas: Insanity,143.,76,4.5,/game/pc/far-cry-6---vaas-insanity/critic-reviews,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,80,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,80,,,,90,,,,,75,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,
Room to Grow,144.,76,tbd,/game/pc/room-to-grow/critic-reviews,,,,,,,,,,,,,,,,,,,60,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,62,,,,,,,,,,,,90,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curious Expedition 2,145.,76,5.8,/game/pc/curious-expedition-2/critic-reviews,,,,,,,,,,,,75,,56,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,50,,,,,74,,,,,,,,70,,85,,,,78,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,75,,,,,80,,,,,,90,,,,,,,,,,,,,,,,,,
Twelve Minutes,146.,76,6.1,/game/pc/twelve-minutes/critic-reviews,,60,,,,,90,,80,,,80,,70,,80,,,,,,,80,,,,70,,85,80,,70,80,70,,,,,,,,80,,,,64,,,,,,,,,60,90,68,,90,80,,65,70,,,66,,,,90,,80,90,90,,,80,80,,,,,80,,60,,,90,,,,75,70,70,,,,,,,,,,,65,75,80,60,70,53,,85,,,80,,,,70,,75,,,,55,,,80,80,,,,,69,,,,84,90,,,,60,60,,,,90,,80,,90,75,,,70,,70,90,,,
Days Gone,147.,76,8.7,/game/pc/days-gone/critic-reviews,82,,,,80,,70,,,,80,90,80,75,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,65,,80,,,,90,,,80,90,,80,,80,,70,,,,,,,,80,,,,83,85,80,90,50,,,,40,,,,,,,,,70,,,,80,75,,,,,,,70,,80,76,60,75,80,,,80,63,80,,80,,60,,,,,,,,,80,,,,80,,70,,,,80,,,,88,,,,,70,,82,,,,,,,82,75,,,,,,88,,,
OMNO,148.,76,7.0,/game/pc/omno/critic-reviews,,80,,,,,,,,,,85,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,65,,,,,,,,,,,,,78,,70,,,,80,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,80,,75,,,,,,,,,,,,,,,,
Wraith: The Oblivion - Afterlife,149.,76,7.8,/game/pc/wraith-the-oblivion---afterlife/critic-reviews,78,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,90,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,82,,,,,,,,,,,,75,,70,,78,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,40,,,,,,80,,,78,,,,,,,76,,,
The Wild At Heart,150.,76,7.5,/game/pc/the-wild-at-heart/critic-reviews,75,,,,,,,,,,,70,,74,,80,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,70,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,90,,,,70,,,,,,,60,,,,,80,,,,80,,,,,,,,,,,,,,
Legend of Keepers: Career of a Dungeon Manager,151.,76,6.5,/game/pc/legend-of-keepers-career-of-a-dungeon-manager/critic-reviews,83,,,,,,,,,,,85,,73,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,70,,,,,80,80,,,,,,,,,,,,,60,,,,,,,,85,,,,,82,,,,,,80,,,,,,,,,,,,,,,,,,
The Sims 4: Paranormal Stuff Pack,152.,76,tbd,/game/pc/the-sims-4-paranormal-stuff-pack/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,70,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,80,,,,60,,,,,,,,,,,,,,
Maskmaker,153.,76,tbd,/game/pc/maskmaker/critic-reviews,76,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,85,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,70,,,,,,,,,,
The Outer Worlds: Murder on Eridanos,154.,76,7.3,/game/pc/the-outer-worlds-murder-on-eridanos/critic-reviews,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,70,75,,,,,,,,,,,85,,,,,,,,90,,90,,,,,,,,,,,,,,,,,,,55,,,,,,,,,70,,,74,,,,,,,60,,,,,,,85,,,78,,,70,,,90,,,75,,,,,,,,,,70,,,,,,80,,,,,,,,,,,,,,,,,,,,,,80,,,,,70,,,,,,,
