game_name,rank,meta_score,user_score,critic_url,4Players.de,Adventure Gamers,Android Central,App Trigger,Areajugones,Atomix,Attack of the Fanboy,AusGamers,BaziCenter,Buried Treasure,But Why Tho?,CD-Action,CGMagazine,COGconnected,Carole Quintaine,Checkpoint Gaming,Comicbook.com,Critical Hit,Cubed3,Cultured Vultures,DarkStation,DarkZero,Destructoid,Dexerto,Digital Chumps,Digital Spy,Digital Trends,Digitally Downloaded,DualShockers,EGM,Easy Allies,Edge Magazine,Eurogamer Italy,Everyeye.it,Finger Guns,Forbes,GAMES.CH,GAMINGbible,GMW3,GRYOnline.pl,Game Debate,Game Informer,Game Over Online,Game Rant,Game Revolution,Game World Navigator Magazine,GameByte,GameCrate,GameCritics,GameGrin,GameMAG,GameOver.gr,GameSkinny,GameSpace,GameSpew,GameSpot,GameStar,GameWatcher,Gameblog.fr,Gamepressure,Gamer Escape,Gamer.nl,Gamer.no,Gamers Heroes,Gamers' Temple,Gamersky,Games.cz,GamesBeat,GamesHub,GamesRadar+,Gaming Age,Gaming Nexus,GamingBolt,GamingTrend,Gfinity,God is a Geek,Guardian,Hardcore Gamer,Het Nieuwsblad,Hey Poor Player,Hobby Consolas,Hooked Gamers,IGN,IGN Adria,IGN France,IGN Italia,IGN Japan,IGN Portugal,IGN Spain,Impulsegamer,Inverse,JeuxActu,Jeuxvideo.com,KeenGamer,LEVEL (Czech Republic),Launcher (The Washington Post),LevelUp,M3,MGG Spain,MMORPG.com,Malditos Nerds,Meristation,Merlin'in KazanÄ± (Turkey),Metro GameCentral,Millenium,Multiplayer.it,NME,New Game Network,Noisy Pixel,PC Gamer,PC Games,PC Invasion,PCGamesN,PCMag,PLAY! Zine,PlaySense,Player 2,Power Unlimited,Press Start Australia,Quarter to Three,RPG Fan,RPG Site,RPGamer,Ragequit.gr,Riot Pixels,Road to VR,SECTOR.sk,Screen Rant,Shacknews,Shindig,Siliconera,Slant Magazine,Softpedia,SpazioGames,Stevivor,Telegraph,The Digital Fix,The Games Machine,The Indie Game Website,The Loadout,The Mako Reactor,The Overpowered Noobs,TheGamer,TheSixthAxis,TierraGamer,TrueGaming,Trusted Reviews,Twinfinite,UploadVR,VG247,VGC,Vandal,Vgames,Washington Post,Wccftech,We Got This Covered,WellPlayed,Windows Central,Worth Playing,XGN,ZTGD,null_404
The Climb 2,155.,75,tbd,/game/pc/the-climb-2/critic-reviews,75,,,,75,,,,,,,,,,,,,,,,,,85,,,,,,,,,,70,78,,,,,80,,,,,,,,,,,80,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,80,,70,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,80,,,,,,,,,,,80,,,70,,,,,,,,,,
Scott Pilgrim vs. the World: The Game - Complete Edition,156.,75,5.9,/game/pc/scott-pilgrim-vs-the-world-the-game---complete-edition/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,90,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,70,,75,,80,,,,,,,,,,70,,,,,,,,,90,,,,,,,,,,70,,,,,,,,,,,,,,70,,,,,
Tormented Souls,157.,75,7.7,/game/pc/tormented-souls/critic-reviews,,,,,,,,,,,,,,70,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,85,56,,,,,,70,,80,,,82,,,,,,,,80,,,,,,,,,75,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,72,,,,,,70,,,,,,,,,,,,79,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,70,,,,,,,
Field of Glory II: Medieval,158.,75,7.3,/game/pc/field-of-glory-ii-medieval/critic-reviews,65,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,73,85,,,,,,,,,80,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,85,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Century: Age of Ashes,159.,75,7.4,/game/pc/century-age-of-ashes/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,70,,,,,,,80,,,75,,,,,,,75,,,,,,85,60,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,
The Jackbox Party Pack 8,160.,75,tbd,/game/pc/the-jackbox-party-pack-8/critic-reviews,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,75,,,,,,,,,,,70,,,80,,,,,,,,,,,,70,80,,,,,,,,,,,,,,,,,,
Evil Genius 2: World Domination,161.,75,5.0,/game/pc/evil-genius-2-world-domination/critic-reviews,78,,,60,,,80,,70,,,80,75,79,,80,,,,80,,,85,,,,,70,,,,60,80,,,,,70,,,70,70,72,80,,58,80,,,80,,,70,80,80,70,,60,,,,,90,,,,,,,,,,,80,90,80,80,80,,80,,,60,,,85,,,,,,75,75,,,,,,,80,,,,80,,73,,72,,75,,80,,70,,,,,,,,,,,60,,,80,90,,,,,,,,100,80,,,,,100,80,,,,,,80,60,70,,,60,,,80,80,,,
After the Fall,162.,75,6.9,/game/pc/after-the-fall/critic-reviews,,,80,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,60,,80,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,65,80,,,,,,,,,,82,,,,,,,80,,,,,,,,,,,,,,70,,,
The Medium,163.,75,7.2,/game/pc/the-medium/critic-reviews,,60,,65,60,,,,,,,,45,,,,,85,80,,90,70,60,,,,,,,,,,80,,,,,,,90,,68,90,,,,,75,90,85,80,,,90,,90,84,85,,,,,,95,70,85,,,,50,,,,,,,,80,,80,,,,,,,,,,,,,70,,60,,,,,,65,,70,,80,90,,62,,92,50,75,60,60,,,91,,,,,,,,69,,,,60,,,,,80,,,90,88,60,,,,,80,,,,,,,,,90,,,,,,80,,,
The Elder Scrolls Online: Blackwood,164.,75,4.5,/game/pc/the-elder-scrolls-online-blackwood/critic-reviews,,,,,,,,,,,,,70,,,60,,,,,,,,,88,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,86,,,,,,,,,,,,,,83,,,85,60,,,,,,,70,70,,,,,,,,,,70,,,,,,,75,,,,,,75,,,,,90,,,,,,,,,,,,,,,,,60,,,,,,,,,,80,,,,,,70,,,,,,,,,80,,,,,,,70,,
Total War: Rome Remastered,165.,75,5.1,/game/pc/total-war-rome-remastered/critic-reviews,,,,,,,,,,,,80,80,,,,,,,70,,,,,,,,70,,,,,70,85,,,,,,,,,,,,,,,,,,,,,,60,76,,,,,75,90,,,,60,,,,,85,,,,,,,,,,,70,,,80,,,,,,,70,,,,,,,80,,,,,,80,,,,,80,,80,,,,,,,,,,,,70,,,60,,,,,,70,,,,82,,,,,,80,,,,,,,,85,,,80,,,,,,,
Chernobylite,166.,75,8.0,/game/pc/chernobylite/critic-reviews,,,,,,,,85,80,,70,75,,70,,60,,,,,,,,,,,,,,,,,80,80,,,,,,80,,,,,,,,,80,65,70,80,60,,,,80,80,80,80,70,,,,,,70,,,,,,70,75,,75,,80,,,,75,,,,60,,,,,,,70,,,,,,,,,78,80,,,80,60,79,80,78,60,75,,,,,,,,,88,,60,87,60,,,80,,,,,75,74,,,,78,60,,,,90,,,,,70,,,,77,,,,,85,80,,,,
In Sound Mind,167.,75,8.0,/game/pc/in-sound-mind/critic-reviews,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,80,,,,,,,,,,,,,,,,,60,,,,,,,,,,,70,,,,,,,,,,,,,,,66,75,,60,90,,,,,,,,,,,,,,,65,80,,,,,,70,,,,75,75,,,,,80,,,,,,,,80,,,75,,,,,,,
Black Book,168.,75,8.7,/game/pc/black-book/critic-reviews,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,75,80,,80,80,,,76,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,88,,70,,68,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,
"Warhammer 40,000: Battlesector",169.,74,7.6,/game/pc/warhammer-40000-battlesector/critic-reviews,,,,,,,,,,,,75,,82,,80,,,,60,,,,,,,,,,,,,70,70,,,,,,,,,,,,,,,75,,,,,,,,61,80,,,,,,,,,60,,,,,,,,,,,,,,,80,80,,,74,,,,96,,,,,,,,,,,,,,,,68,,,,74,,80,70,,,,,,,,,,,,74,,,,,,,,85,70,,,,72,,,,,,,,,,,,,,,,,,,,80,,,,
Severed Steel,170.,74,6.3,/game/pc/severed-steel/critic-reviews,,,,,,,,,,,,75,,,,,,,,,,60,,,,,,,,,,,,,70,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,78,70,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,67,,,,,,,,80,,,,,,80,,,,80,,,,,,,,,,,,,,,,,,80,
Strangeland,171.,74,7.9,/game/pc/strangeland/critic-reviews,,80,,,,,,,,,,80,,,,,,,80,,,,,,83,,,,,,,60,,,,,,,,,,,,,,,,,85,,70,80,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,78,,,,,,,,69,,,,,,,,,,,,,,84,,,,,,90,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
Insurmountable,172.,74,tbd,/game/pc/insurmountable/critic-reviews,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,58,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,85,,,
Assassin's Creed Valhalla: Wrath of the Druids,173.,74,6.0,/game/pc/assassins-creed-valhalla-wrath-of-the-druids/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,50,,,,,,,75,,90,,,,,,,,,,,,,,,,,65,,,,,,,,,,72,,,75,,,,,,80,80,60,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,80,,,,68,85,,
Aeterna Noctis,174.,74,7.9,/game/pc/aeterna-noctis/critic-reviews,,,,,70,,,,,,,,,,,80,,,,,,,,,,,,,,,,,60,63,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,77,,,,,,,,80,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,67,,,,,,,,,,,,,,,,,,80,,,,,,,70,,,
Far Cry 6,175.,74,3.6,/game/pc/far-cry-6/critic-reviews,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,60,,,70,,,,,,70,,,65,,,,,,70,77,65,,,,75,,,,86,,,,,,85,,85,,,,,,,,,,,70,,,,,,,,80,,,,,,80,,,,80,,70,,80,,,75,80,80,70,,,,,,,,,,,70,64,,,,80,40,,,,78,45,,,94,,,,,,,,90,,,,,,,,,74,,,,81,,,
Lost Words: Beyond the Page,176.,74,8.2,/game/pc/lost-words-beyond-the-page/critic-reviews,79,60,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,70,,,,,,,,,80,,,60,80,,,,,,,,,,70,,,,,,,,,,,,70,,,,,,,70,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,70,,,,,80,,,
Toodee and Topdee,177.,74,8.6,/game/pc/toodee-and-topdee/critic-reviews,,,,,,,,,,,,,,,,,,,,,,80,,,80,,,70,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,80,,,,,,,,,
Cris Tales,178.,74,7.9,/game/pc/cris-tales/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,80,87,,,,,,,,78,,,,,,,90,,,,70,,,80,,,80,,60,,,,,80,,,,,,,,,80,,80,,,,,55,70,,,,,,,,,,75,,,60,,,,,,,,70,65,85,,,,57,,,,,80,,,,,,,70,,71,,,,80,,,,,,73,,,,,,,,,,90,80,,,60,,,,,,,75,,,,,,,
Unplugged (Vertigo Games),179.,74,tbd,/game/pc/unplugged-vertigo-games/critic-reviews,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,80,,80,,,,73,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,60,,,,,,,,70,,,,86,,,,,,,,,,,,,,83,,,,,,,67,,,
WRC 10 FIA World Rally Championship,180.,74,4.3,/game/pc/wrc-10-fia-world-rally-championship/critic-reviews,,,,,,,,,,,,80,,,,,,,,,,70,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,73,,,79,,70,80,,,,,,,,,,,,,,,,,,70,,80,,,,,,79,,,,,,,80,,,,,,,,,,,,,70,,72,,,,,,70,,,,,,,,,,,,,,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samurai Warriors 5,181.,74,7.6,/game/pc/samurai-warriors-5/critic-reviews,,,,,,,,,,,,75,,,,,,,,,,70,,,,,,,,,,,70,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,70,,,,,,,,,,,,,70,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,
Narita Boy,182.,74,7.2,/game/pc/narita-boy/critic-reviews,,,,,,,,76,,,,65,,,,70,,,,,,,,,,,,,,,,60,80,,,,,,,,,,,,,,,,65,,80,60,,,,,,,,,,,,,,,,,,,,74,,,,80,,60,,,89,,60,,,,,,,,,,80,75,,,,,78,,,80,,,,88,,,,70,,90,,,,,,,,,,,,80,,,,,70,,,,,,,,,85,80,,,,90,,73,,,,,,,80,,,,,,,,,,
Nebuchadnezzar,183.,73,5.7,/game/pc/nebuchadnezzar/critic-reviews,80,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,50,80,,,,,,,,,,,,,,,74,70,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasteland 3: The Battle of Steeltown,184.,73,7.5,/game/pc/wasteland-3-the-battle-of-steeltown/critic-reviews,,,,,,,,,,,,70,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,70,,,,,,,,,,,,,80,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,80,,,,80,,,
No Longer Home,185.,73,tbd,/game/pc/no-longer-home/critic-reviews,,,,,,,,,,,95,,,60,,,,,,,,,,,,,,,,,,70,,,,,,80,,,,,,,,,,,70,,,,,,,,,,,,90,,70,,,,,,,,,,,75,,,,,,70,,,,,,,,,,72,,,,75,,,,,,,,,72,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tribes of Midgard,186.,73,7.9,/game/pc/tribes-of-midgard/critic-reviews,,,,,,,70,,,,,,,84,,,,,,,,,,,,,,,,,,,70,70,,,,,,,,,,60,,,,,,70,,,,,,,72,,,,,,,,,,,,,,,85,70,75,90,75,,,,70,,,70,,,,,,,,,,60,,,,,,,75,,,,,,,,,,,,60,,,,,,,,,,,,,,,,90,,,,,,,,,,,70,,,,,,,,,80,,,,,,,,,,,,,,
Watch Dogs: Legion - Bloodline,187.,73,7.9,/game/pc/watch-dogs-legion---bloodline/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,70,,,91,,,,,,,,,,,,,,,,,,70,,,,,,,,,50,,,,,,,,,,,,,,70,75,,,
Medieval Dynasty,188.,73,7.3,/game/pc/medieval-dynasty/critic-reviews,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,74,,,75,,,,,,,,,,,,,,75,,,,,,,,,,,,70,,,,,,,,,,,,,,70,,,,,,75,,,,74,60,80,,,,,,,,,,,,78,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,80,,,,,
Minute of Islands,189.,73,7.0,/game/pc/minute-of-islands/critic-reviews,84,100,,,,,,,,,,65,,70,,90,,,,,,,,,,,,,,,,60,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,70,,,,,,,,,,,,,,,,,,78,,,,,,,,,70,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,
The Ascent,190.,73,7.8,/game/pc/the-ascent/critic-reviews,,,,,,,,64,,,,,,92,,90,50,,,,,,,,,,,,,,,60,80,,,,,,,,,73,,,,79,,,,,,,,,,60,64,,60,80,,,,85,,76,,,,,,,,80,90,70,60,,,,,,70,,60,85,80,70,,90,,,80,,,,,,67,70,90,,74,,,75,60,71,55,84,70,85,70,,,,,,,,58,,,79,,,,,90,,,70,,72,,80,,84,70,,,,,80,,,,60,,80,80,70,,,,,,,,,,
Oddworld: Soulstorm,191.,73,6.3,/game/pc/oddworld-soulstorm/critic-reviews,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,70,,,,60,,,70,,,,,,,,,,,,,,,,,80,,,,,,,70,,,,,,,88,,,,,,,,,,,75,,,,75,,,,,65,70,85,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,
Outriders,192.,73,5.7,/game/pc/outriders/critic-reviews,,,,,,,60,,,,,75,,,,,,,50,,,,,,,,,,,,,70,,,,,,,,,,90,80,80,,,,,,50,,,70,,,80,83,,,,,,,,,,,,,70,,,,80,80,,,,,,,,,,,,,,,,,,75,,,,55,,,,,75,70,,75,75,,,,63,60,75,70,60,,,75,,,,,,,80,72,,,,,,,,,,,,,82,,,,,70,,,,,,,,,,,,75,,,,68,,,
Tandem: A Tale of Shadows,193.,73,tbd,/game/pc/tandem-a-tale-of-shadows/critic-reviews,,70,,,,,,,,,,,,70,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,40,,,,,,,,,,,80,,,,,,70,,70,,85,,,,,,,,78,,,,,,,,,,,,,,,,80,60,,,,,70,,,,,,,,,,,,,,,,90,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,
Killsquad,194.,73,7.0,/game/pc/killsquad/critic-reviews,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,75,,,,,,68,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,60,,,,,,,,,,,,,,,,,,
Encased: a sci-fi post-apocalyptic RPG,195.,73,7.7,/game/pc/encased-a-sci-fi-post-apocalyptic-rpg/critic-reviews,,,,,,,,,,,,85,,80,,,,,60,,,,,,,,,,,,,,70,,,,,,,,,,,,,63,,,,,,,,70,70,,76,,,70,,,,,,,80,,,,,,,,,,,,,80,,,,,,77,,,,,,,70,,,,,,,,,,,,,74,,,,,,90,,,,,,,,,,,,83,53,,,,,,,,,,,,,75,,,,,,,65,,,,,,,,,,77,,,,,,,
Sniper Ghost Warrior Contracts 2,196.,73,7.1,/game/pc/sniper-ghost-warrior-contracts-2/critic-reviews,71,,,,75,,,,,,,80,,75,,,,,,,,,,,84,,,,,,,,,65,,,,,,75,,,,,,,,,75,80,70,,,,,,75,,,,,,,,,,,,,,,,,75,60,,,,,,,,60,,,,,,,,,,80,,,,,,,,,,,,,,60,70,,80,,70,,,,,,,,,,,,90,,,,,,,,,75,,,,,,,,,,70,,,,,,,,,,,,70,,,,,,,
The Dark Pictures Anthology: House of Ashes,197.,73,7.9,/game/pc/the-dark-pictures-anthology-house-of-ashes/critic-reviews,,80,,,,,,,,,,,85,,,30,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,78,,,90,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,60,,,,,,,,,,,75,,,70,,,,,,,75,,,,,,,80,60,80,,,,,,,,,,,,,72,,,,80,,,20,,,,,,,,,,,80,,79,,,,,,,,,,90,,,,,,,
Behind the Frame: The Finest Scenery,198.,73,8.3,/game/pc/behind-the-frame-the-finest-scenery/critic-reviews,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,70,,,,,,,,70,,,,,,,,,,,,,80,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,
Mundaun,199.,72,6.8,/game/pc/mundaun/critic-reviews,,80,,,,,,,,,,,50,68,,,,,,,,,,,,,,,,,,70,,,,,75,,,,,78,,,,,,,,,,,,,,80,,,50,,,,,,90,,,,,,83,,70,,,,,70,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,90,,60,85,,,,,,,,,79,,,,,,,,70,,,70,,,,,,,80,,,,70,,,,,,,,,70,,70,,,,,,,,
Cozy Grove,200.,72,5.9,/game/pc/cozy-grove/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,70,,80,,,,,,,,,,,,,,,70,,,,,,,,,65,,,,,,,,,70,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,
Backbone,201.,72,6.8,/game/pc/backbone/critic-reviews,65,80,,,,,80,,,,,75,,90,,70,,70,,,,,70,,,,,,,,,70,70,,,,,70,,,,,,,,,,,85,,60,,,,60,,,,,,,,,,,,,,,,,,,65,80,90,60,80,,60,,,,,,,,,,,,,,73,,,,,,,,,,,,,,60,75,,,75,,,,,,,,,78,,,65,,,,100,60,,,,85,,,,,,80,,,,,,,,,,,,,,,,,,,,65,,,
TOHU,202.,72,6.8,/game/pc/tohu/critic-reviews,,80,,,,,,,,,,65,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,100,70,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,80,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disciples: Liberation,203.,72,4.4,/game/pc/disciples-liberation/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,75,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,60,,,,,70,,,,,,75,,,,,,,86,,,,80,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,
Before We Leave,204.,72,7.3,/game/pc/before-we-leave/critic-reviews,,,,60,,,,,,,,,75,,,,,,,,80,,,,,,,,,,,,,,60,,,,,,,,,,,,,,75,,,,80,,,,70,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,65,70,80,,,,70,,,,,,,55,,,,71,,,,,,,,,,,,,,,,,,50,,80,,,,,,,,86,70,,,70,,,,,,,,,,,,,,,80,,,,,
Greak: Memories of Azur,205.,72,7.2,/game/pc/greak-memories-of-azur/critic-reviews,,,,,,,,,,,,60,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,70,,,80,,,,,,,,,,,,75,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hextech Mayhem: A League of Legends Story,206.,72,7.3,/game/pc/hextech-mayhem-a-league-of-legends-story/critic-reviews,,,,,,,,,,,,,,71,,,,,,,,,80,80,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,70,,,,,,,,,,,,,70,,,,,80,,,,,,,,,,,,,63,,,,50,,,,,,,,,,77,,,,,,,80,,,,,,,70,,,,,,,,,,
Immortals Fenyx Rising: The Lost Gods,207.,72,2.9,/game/pc/immortals-fenyx-rising-the-lost-gods/critic-reviews,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,75,,,,55,,,
Endzone: A World Apart,208.,72,7.0,/game/pc/endzone-a-world-apart/critic-reviews,76,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,80,,,79,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,70,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
